Comment	Comment Reply
Arindam	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
I lovemy bessinsess	Bilkul hona chahiye. 
Very very incretible  motivational  sandesh. Jai hind.	Thanks. For more information, contact us. 
Sir please suit ki bhi video banaye	जी, हम निश्चित रूप से वह वीडियो भी बनाएंगे। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
सर मुझे भी माल खरेदी करना है 🙏🙏	जी, ज़रूर। आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
Sir me bhi Bizenis karna hi keya me apse baat krna chahti hu	जी ज़रूर, आप हमसे बात कर सकते हैं। आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Ahmedabad me shop karni hai	हां, ज़रूर। आप अपना व्यवसाय शुरू करें। 
Sir Mene Maine pahli bar aapki video dekhi mujhe aapki baat karne ka tarika bahut achcha laga aur main bhi decide kar rahi hun ki main Sadi ka business shuru karo please aap meri thodi help Karen	ज़रूर, हम आपकी मदद करेंगे। आप अपना व्यवसाय शुरू करें। 
You are right sir	Thanks! 
Gorishankar Kumhar	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Bahut achha LGA sir	धन्यवाद। 
Sir Mujhe aap na Ek job de dijiye packing ka kam aata hai Ghadi ka kam Aata Hai Taig Lagana Sarri Ke Andar  sara kam Jaanta hun sar	We cannot guarantee a job, but you can get all the business information without working. 
You are excellent and fit to join movies	Thank you. 
Sir rajputi pyor collection h kyaa	For information about any products, please contact our sales executive. Thank you. 
Nice Sir Suresh Singh Uttarakhand Tahsil khatima u s nagar nice	Thank you. For more information, please contact us. 
Mujhe kanpur me kapde ki dukan krni h kurti plazo top ki	यह जानकर खुशी हुई कि आप कपड़ों का व्यवसाय शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। कृपया हमसे संपर्क करें। विस्तार से आपको पूरी प्रक्रिया बताई जाएगी। 
Ok❤❤❤❤	Thanks for the positive feedback! 
10/30.f ka dukan hai	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Main surat aana chahata hu sri	जी ज़रूर, आपका हार्दिक स्वागत है। हमारे सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। 
Good ❤❤❤❤❤❤❤	Thanks. 
Prasad from hyderabad	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
I love my dream food Business because I am chef	Absolutely! For business information, please contact our sales executive. Thank you. 
Great video	Thank you. 
Jay siya ram  vabhai vah  jayho	Jai siya Ram 🙏 
Great men great family	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir apki franchise k liye kya kerna hoga	For information about our franchise, please contact us. 
🎉haa	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Bahut badhiya 👍💯	Thank you. 
Sir main bhi driver hun aur main aapke pass 16 tarikh ko a Raha hu	Ji, zaroor. Aapka swagat hai. 
Gautam Kumar  mere ko shop chalu karna hi	जी जरूर। आप अपना बिजनेस शुरू करें। शुभकामनाएं। 
Chandan bhaiya thankyou	Most welcome. 
Sir me Mumbai klyan se hu me aapka hr ek dekhti hu mere husband COVID 19 me of ho gye me Ghar pr hi stitching krti hu or stitching class bhi leti hu muje apne business ko aage bdana h jisse mere bachcho ko  pada likha sakun  plz sir aap muje bataiye ki kaise badaau	हाउसवाइफ होना गर्व की बात है। आप चाहें तो सब कुछ कर सकती हैं। ऑनलाइन खरीदारी के तरीके के बारे में अधिक जानकारी के लिए संपर्क करें। 
Hello sir namaste  Mai 29 ko visit kar raha hu in this month chota busines start karna hai usse pahle ajay je se milna hai kuch bat karne hai agar possible hai to please..	जी ज़रूर, आपका हार्दिक स्वागत है। हाँ, ज़रूर आप आएं। हमारी टीम आपकी पूरी मदद करेगी। 
Nice video सर जी नया बिजनेस कपड़े का 50000 में क्या चालू किया जा सकता है	जी, बिल्कुल। आप इस बारे में अधिक जानकारी प्राप्त कर सकते हैं। धन्यवाद। 
Surat is Textile capital of Synthetic fabrics	For product information, please contact our sales executives. Thank you. 
Hello Sir  Hame ₹49 ka Kurt set dekhna hai	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Main aaj aapke yahan se Sadi bheja hun Lucknow dekhta hun kaisa rahega response    Surat  tu.  Lucknow	नमस्ते, यदि आपको कोई जानकारी चाहिए, तो आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Aayege sir	जी ज़रूर, आपका हार्दिक स्वागत है। आप संपर्क कर सकते हैं। हमारी सेल्स टीम आपकी सहायता करेगी। 
राधे राधे राधे राधे राधे राधे राधे राधे राधे राधे राधे राधे	राधे राधे 🙏 
अजमेरा फैशन भाई साहब का अनुभव ओर ह्रदय बहुत अच्छा है	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Mandala jile ka transport charge Kitna lagega sar	Please contact our sales executive for information on transportation rates. 
6000	For price inquiries, please contact our sales executive. Thank you. 
Sar kya ham 10000 rupaye se business start kar sakte hai	आप कम से कम 20,000 से 25,000 का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
सर मैं आपके कम्पनी में काम करना चाहता हूं और मैं झारखण्ड राज्य से हूं और सूरत कभी गया नहीं हूं सर सूरत में मेरे जान-पहचान का कोई भी नहीं है सर	We cannot guarantee a job, but you can get all the business information without working here. 
Sir yadi Ghar pr hi mal mangvana h to kitne minimum kitne price tak mangva sakte h	For information on minimum order quantities, please contact our sales executive team. Thank you. 
Rajni bhai you hero 😍😍😍	धन्यवाद! अधिक जानकारी के लिए, हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। 
Bhaiya ji business mein Kitna Paisa lagaun ki achcha dukaan Ho	आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क कर सकते हैं। धन्यवाद। 
🎉🎉🎉💪👍👍	Thank you. 
Good morning sir may balram hasda bijnes karna chahta hu	हाँ, जरूर, आप अपना बिजनेस शुरू कर सकते हैं। हम आपको बिजनेस की पूरी जानकारी देंगे। आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Bahut se costomer par mujhe jaldi gussa aa jata h, kya kren	To get business information, please contact our sales executive. Thank you. 
Mera bhi yahi sapna hai Sir ji 🙏🏻	यह बहुत अच्छी बात है, सर। आपका सपना जरूर पूरा होगा। शुभ कामनाएं। 
👌🙏	You're welcome. 
Sir ye kitane rang kat ki hai sadi	For product pricing, please contact our sales executive. Thank you. 
Ok sir ji thank you	Most welcome. 
ट्रांसपोर्ट वाला पर केजी पर क्या चार्ज लगता है सर जी	Please contact our sales executive for information about transportation rates. Thank you. 
सर मुझे आप का बिजनेस शुरू कर रहे हैं नए किस प्रकार से करे और कपड़े भी होलसेल के रेट	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Point to be Noted ❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Very good sir jee mai bihar se  hu	Thank you. For more information, please contact us. 
Sir mujhe kaam suru karna hai main 10,000 se kar sakti ho	आप कम से कम ₹20,000 से ₹25,000 का कपड़ा मंगवा सकती हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकती हैं, धन्यवाद। 
I love my dream ❤radhe radhe Jay shree Ram	Radhe radhe. Jai shree ram. 
Osm sir ❤️	जी शुक्रिया। किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Big motivation sir ji I'm big fan you're	Thank you, sir. For more information, you can contact us. 
Ek bar sar aapse Milana chahte Hain ham aaye the lekin aap mile nahin Mal dekh kar hi wapas a gaye kharida nahin	ज़रूर। हम आपसे मिलकर खुशी होगी। 
Thank you Sir 🙏 Best work with Daily, Weekly or Monthly TARGET 🎯	You're welcome. For more information, please contact us. Thank you. 
❤❤ u sir very nice video thanku so much ❤❤	You're welcome. 
Reply sir please	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Kya aap se phone pr baat ho skti hai kya Sir	जी ज़रूर, आप हमसे बात कर सकते हैं। आप हमारे सेल्स एग्जीक्यूटिव को संपर्क कर सकते हैं। धन्यवाद। 
I love dreem	You should love it. 
👍👌👋	Thank you. 
Sir Mera name Roshan ali hai mai surat me karigari karata hu  kurti,gaun,lahaga choli ka but  mai business karana chata hu lekin use pahale mai apne guru yani ki aap ka darshan karna chahta hu aor aap ka ashirwad lene ke baad mai apna business suru karana chata hu	यह बहुत खुशी की बात है कि आप अपना बिजनेस शुरू करना चाहते हैं। बहुत शुभकामनाएं। 
JAY bhim❤❤❤❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Browso	For information about any products, you can contact our sales executive. Thank you. 
Ajay sar maaf Karna samay bachane ke liye ham sadiyan theek se dekh nahin paate hain	कोई बात नहीं सर, आप दोबारा देख सकते हैं। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
सर ,मै बिहार भागलपुर से हूँ । मेरी पत्नी घर से ही साड़ी का व्यवसाय कम लगत से शुरु करना चाहती है ।कैसे शुरु करे।	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
Minimum order kya h	For information about the minimum order, please contact our sales executive team. Thank you. 
Aapka video banane ka kya fayda aapane rate to kuchh bataya nahin	We don't mention wholesale rates to allow you to maintain your profit margins. If your customers see the real rates, it could impact your sales. For more details, please contact our sales executives. Thank you. 
धन्यवाद सर🙏🏻🙏🏻🙏🏻	😊😇 For more details, please contact us. Thank you. 
Jai hind  sir  Bahut  achi video  bnate ho ap or apke bolne ka bhi tarika bahut acha hai	जी, बहुत-बहुत धन्यवाद सर। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir ham bhi aap se judana chahte hai agar aap jod kar rakho to koyi phirod na ho to surat me bahut phirod hota hai	जी ज़रूर शुरू करे, हमे आपसे जुड़कर बेहद ख़ुशी होगी। अधिक जानकारी के लिए संपर्क करें। ऐसा नहीं है, आप यहां आकर देख सकते हैं। 
I love may dreem	Yes, you should love it! 
Nice sir 👌🏻	Thank you. 
Fri Mar 04 2005 00:00:00 GMT+0530 (India Standard Time)	नमस्ते, अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mai holesale ka business suru karana chahata hu sir aap kucha margdarshan kijiye sir	यह बहुत अच्छी बात है सर। आप अपना खुद का बिजनेस स्टार्ट करना चाहते हैं। इस काम में हम आपकी पूरी मदद करेंगे। 
Sir,main ayodhya sey hoon,Garmi bahut h	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Software cost kya hai  Unka contact no dijiye	You can contact us for all the information. Thank you. 
२००,००० रुपैयाँ का कपडा खरिदपर बिहार डिलेबरी पर कितना खर्च आएता ।	For information on transportation rates, please contact our sales executive. Thank you. 
COD है काय	जी नहीं। हम COD में डील नहीं करते हैं। अगर आपको हमारे यहाँ से प्रोडक्ट्स परचेस करना हो, तो आपको कॅश में लेना पड़ेगा या फिर बैंक ट्रांसफर करना होगा। धन्यवाद। 
Bilkul sir👍👍	Thank you. 
I my dream	Bilkul hona chahiye. 
Wow sir my to aap ki fan hu ❤❤❤❤❤❤	We appreciate your kind words! 
Sir me Nepal se hu ❤	नमस्ते। आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Chandauli Jile Mein kam karna chahta hun Sar support kya hoga	We will fully support you. You can start this business with a small amount. For more information, please contact us. Thank you. 
भगवान आपको हर खुशी दे 🙏	Ji, bahot dhanyawad. 
सर जी नमस्कार  मैं राधेश्याम चौरसिया  ,  अयोध्या धाम से,  सर मैं नौकरी करता हूं ,पर  बिजनेश चाहता हूं plz....... मुझे मार्ग दर्शन करवाए,	यह बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं। हम इस काम में आपकी पूरी मदद करेंगे। आपको विस्तार से पूरा प्रोसेस बताया जाएगा। 
Gazab ajay bhai ji  I saluet you and your ajmera family	Thank you, sir. 
અજમેરા ફેશન સુરત... લાખ લાખ.. અભિનંદન શુભેચ્છાઓ.. માનવી પ્રત્યે.. હમ દરદી બતાવવા માટે... ખુબ ખુબ અભિનંદન શુભેચ્છાઓ	Ji, thank you very much. 
जय,माता,दी 😊😊	Jai mata di 🙏 
Sir  me cg bilaspur see hai. Surat aane se ajmera me ghum ne  aasakte hai sir  pranam	जी ज़रूर, आपका हार्दिक स्वागत है। हमारे सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। 
Mujhe cotton ka suit lena hai kahan se le	For information about any products, please contact our sales executive. Thank you. 
Great person 💯	Thanks. 
Sir me darbhanga se hu or mujhe saree ka business karna h to kre apke shop se purchase kr skte h	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स टीम से संपर्क करें। धन्यवाद। 
I will meet you soon sir .thanks for you thoughts. And appreciate.	You are welcome. 
❤❤❤ Happy Birthday Ajay Sir🎉🎉🎉🎉	Thank you, sir. 
You are real gem, salute sir	जी शुक्रिया। किसी भी जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir apka shop visit karne jana hai kaha aau	You can visit our shop at the following address: G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002. 
Kya baat hai sir...👏itne bade business man aur ghamand bilkul bhi nahi.. bahut impress aur motivate hua aapse sir.. main bhi bahut time se business karne ki soch raha tha.. ab aapse himmat mili hai.. thank you sir ❤❤ love u	Most welcome. 
Aap kaise hai sir abhi apki surgery Hui hai jaldi milenge aapse	आप लोगों के प्यार की वजह से आज मैं ठीक हो गया हूँ। आप लोगों का तहे दिल से शुक्रिया। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Surat se Palamu aane ka transport ka Kitna kharcha baithega	For information on transportation rates, please contact our sales executive. Thank you. 
Yes Sir banyea please from Nepal	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Yas ji	नमस्ते, जानकारी के लिए हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
सबसे पहले हम लोग भाई सारा क़र लेते है कइ भी जाते है तो हम लोग धर्म ज्यादा करते है है हम संस्कृति से जुड़े हुए रहते है जय मारवाड़ी जय जय मारवाड़.. जय जय राजस्थान	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Ajaya ji radhe radhe han main naya se aur gharse ye bepar soru karna chahta hun aeqctuly kitna budget se suru kar sakta hun aur mein aapka video dekh ke impress hun Jay Jagannath 🙏🏼🙏🏼🙏🏼	आप कम से कम ₹20,000 से ₹25,000 का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
धन्यवाद सर जी 🙏	😊 
Ajmera fashion ko Mera namaskar. Neha ji Hi	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
सर, मैं नौकरी पेशा वाला हूं आपकी बातों को सुनकर कुछ प्रेरणा मिलती है कि शुरू करूं बिजनेस।	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। न्यूनतम ऑर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क कर सकते हैं। धन्यवाद। 
Sir main aapka video dekh dekh ke  apne mata jee ke naam pe ek garments shop kholne ja raha hun .....kya aap uska grand opening main mujhe ashirwad dene aane ka kast karenge sir	जी, आपकी नई शॉप के लिए आपको बहुत शुभकामनाएं। आपके व्यवसाय की उन्नति की हमारी आशा है। आप अपना पता भेज दीजिये। अगर उस समय मेरी तारीखें उपलब्ध रहीं, तो ज़रूर आने का प्रयास करूँगा। 
Nice video sir.	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Thanks 💐	You're welcome. 
Siper 111	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Mens collections m ky ky h apke pss	अजमेरा फैशन में साड़ी, कुर्ती, लहंगा, गाउन, बॉटम वियर, टॉवल, अंडरगारमेंट्स, दुपट्टा, मेंस वियर, किड्स वियर और भी बहुत कुछ उपलब्ध है। अधिक जानकारी के लिए संपर्क करें। 
Wedding  collection per banaen	For information about any products, please contact our sales executive. Thank you. 
Azamgarh Uttar Pradesh se	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
🌹🙏🇮🇳	Thank you. 
Apka kapra to bohot acha hai par apka shop bohot dur hai	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
We visited your store yesterday. Thanks for your welcome by the well behaved staff. Thank you sir.	You're welcome. 
Sir aap bahut  ache ho	जी, शुक्रिया। किसी भी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
सही बोले हैं सर जी... 👌	Dhanyawad. 
Congratulations 🎉🎉🎉🎉	Thank you so much. For more information, you can contact us. 
Okay thanks 🙏 sir	You're welcome. 
Sr aapke vidio se kaphi jankari milti hai	और किसी भी प्रकार की जानकारी के लिए संपर्क करें, धन्यवाद। 
मुझे भी कुछ करना है सर क्या करना पड़ेगा	Ji, shuru kare. Aapko hamara pura support milega. 
ଧନ୍ୟବାଦ	धन्यवाद 🙏 for your comment! 
Video main sab kuch hai..per jo jaroori hai ..wo nahi hai...RATE ?????	हम यहां होलसेल रेट नहीं बताते। अगर हम यहां रेट बता देंगे, तो आप अपने ग्राहक को किस मार्जिन पर सेल करेंगे? आपके ग्राहक ने अगर यह वीडियो देखा, तो उसे वास्तविक रेट पता चल जाएगा। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
I love my dream sir please guide	Absolutely, you should. You will receive our full support. 
Wow	Thanks. 
चाचा जी आप बहुत अच्छे से बताए हैं  एक दिन हम जरूर आयेंगे अजमेरा फैशन सूरत	जी जरूर। 
Lajabab	Dhanyawad sir. 
बहुत अच्छा	Thank you. 
Sir me  aapko Salam karta hun  Sir mein dukaan open karna chahta hun maximum range mein suit aur Sadi ka dukaan kitne mein open ho jaega  Sir me naam Arif Khan  Uttar Pradesh	आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क करें। धन्यवाद। 
dhanayabada sar	Thank you. 
Kya aap 5 saree different designs ki bhej sakte hain I mean order kar sakte hain	To inquire about products, please contact our sales executive. Thank you. 
Bilkul Sahi kaha aap ne sir I believe this	Thank you. 
Holsel  pdf send me   banarasi silk mou monipur silk kanjivaram papa silk  sambolpur silk paitani silk asamsilk pdf  coppy  200 t0 800	For information about any products, please contact our sales executive. Thank you. 
Hii sir My name is Vivek Kya aap mujhe ek name suggest kar sakte hai shopping mall business ke liye plz 🙏🙏🙏🙏......	Thank you for your interest. Please contact our sales executive for business information. 
❤❤ good evening Ajay Sar main Bihar se Paschimi Champaran betiya se	Good evening. For any information, contact our sales executive. 
Jay Shri Krishna❤❤❤❤❤	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir man ke dress milte h kya btaye please please	For information about any products, please contact our sales executives. Thank you. 
Sir minimum kitne invest karke ye bizness Suru kar sakte hai  Me only ladies ka suru karna chahta hu 🙏	आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क कर न्यूनतम ऑर्डर की जानकारी प्राप्त कर सकते हैं। धन्यवाद। 
Sir ye business karne ke liye kin kin baton ka Dhyan rakhna chahie  video banaaiye	जी जरूर, हम वह वीडियो भी बनाएंगे। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Very good video Sir	Thank you. 
Beshak yes sir ❤❤❤❤❤	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Plzzz price paithini batana	For product prices, please contact our sales executive. Thank you. 
Sir me 20000 se start kr skti hu kya	हाँ, ज़रूर, आप शुरू कर सकते हैं। अधिक जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir ma kapde ka work start Krna chata hu aap ka kha mill paoga	You can find our address below: Ajmera Fashion Limited., G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002. Thank you. 
Sir mujhe bhi business karna hai par samajh nahi AA Raha hai ki kam bajat me konsa business karun me aapki videos ko dekhta hu fir bhi business samajh me nahi aa raha hai me kya karu	For business information, please contact our sales executive. Thank you. 
Bilkul Right Sir🙏🙏🙏	जी शुक्रिया। किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Jaldi bhezo reel	जी जरूर। 
नमस्कार सर जी बहुत जल्दी आऊंगा सर	जी ज़रूर, आपका हार्दिक स्वागत है। हमारे सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। 
हम बहुत दूर।में रहते हैं आपके पास।नहीं जा सकते पार्वती टंडन	Aap kaha se hain? 
I love my dream 💕 ❤❤❤❤❤	Thank you! 
Sindhi apne dosto ki bhi help karne mai aage rahte hai wo chahe kisi bhi community ka ho.. Par wo sahi hona chahiye..	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Aapki baat bilkul sahi hai	Thank you. 
Muje be Karna h fere ka mam	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते हैं। मिनिमम आर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें, धन्यवाद। 
Good afternoon sir, very nice video, more important and informative video sir, many many thanks to you.	You're welcome. For more information, please contact us. 
Sir aapka video bhut achha lga❤❤❤❤	Thank you. 
जय श्री राम सर जी बहुत अच्छा तरीका है आपका बात करने का धन्यवाद 🙏🙏	Jai shree Ram 🙏 
